SEQ_NUM,ACC,Latitude,Longitude
61814,0,44.9,-93.1
69288,0,44.9,-93.1
38922,0,44.9,-93.1
10095,0,44.9,-93.1
38922,0,44.9,-93.1
40380,0,44.9,-93.1
10097,0,44.9,-93.1
10096,0,44.9,-93.1
10093,0,44.9,-93.1
10097,0,44.9,-93.1
10096,0,44.9,-93.1
10675,0,44.9,-93.1
40362,0,44.9,-93.1
40417,0,44.9,-93.1
36572,0,44.9,-93.1
36573,0,44.9,-93.1
36577,0,44.9,-93.1
36575,0,44.9,-93.1
36570,0,44.9,-93.1
11693,0,44.9,-93.1
36567,0,44.9,-93.1
36569,0,44.9,-93.1
38098,0,44.9,-93.1
36262,0,44.9,-93.1
40381,0,44.9,-93.1
40382,0,44.9,-93.1
10674,0,44.9,-93.1
11543,0,44.9,-93.1
69866,0,44.9,-93.1
40363,0,44.9,-93.1
40365,0,44.9,-93.1
40364,0,44.9,-93.1
36560,0,44.9,-93.1
67334,0,44.9,-93.1
67333,0,44.9,-93.1
36270,0,44.9,-93.1
40424,0,44.9,-93.1
10131,0,44.9,-93.1
36266,0,44.9,-93.1
10120,0,44.9,-93.1
70465,0,44.9,-93.1
36267,0,44.9,-93.1
70466,0,44.9,-93.1
11717,0,44.9,-93.1
36269,0,44.9,-93.1
36263,0,44.9,-93.1
36268,0,44.9,-93.1
70467,0,44.9,-93.1
10118,0,44.9,-93.1
70468,0,44.9,-93.1
10121,0,44.9,-93.1
69433,0,44.9,-93.1
36256,0,44.9,-93.1
10103,0,44.9,-93.1
40341,0,44.9,-93.1
11666,0,44.9,-93.1
36245,0,44.9,-93.1
10104,0,44.9,-93.1
36248,0,44.9,-93.1
40349,0,44.9,-93.1
36246,0,44.9,-93.1
68831,0,44.9,-93.1
10687,0,44.9,-93.1
10665,0,44.9,-93.1
10688,0,44.9,-93.1
40328,0,44.9,-93.1
40404,0,44.9,-93.1
69422,0,44.9,-93.1
40342,0,44.9,-93.1
11712,0,44.9,-93.1
10116,0,44.9,-93.1
36251,0,44.9,-93.1
36249,0,44.9,-93.1
39168,0,44.9,-93.1
39170,0,44.9,-93.1
10122,0,44.9,-93.1
10119,0,44.9,-93.1
36250,0,44.9,-93.1
40406,0,44.9,-93.1
10115,0,44.9,-93.1
67367,0,44.9,-93.1
10693,0,44.9,-93.1
61516,0,44.9,-93.1
10694,0,44.9,-93.1
35801,0,44.9,-93.1
68631,0,44.9,-93.1
10695,0,44.9,-93.1
35785,0,44.9,-93.1
66466,0,44.9,-93.1
59625,0,44.9,-93.1
62803,0,44.9,-93.1
11698,0,44.9,-93.1
35799,0,44.9,-93.1
40405,0,44.9,-93.1
66467,0,44.9,-93.1
42380,0,44.9,-93.1
36253,0,44.9,-93.1
36257,0,44.9,-93.1
69423,0,44.9,-93.1
11441,0,44.9,-93.1
36255,0,44.9,-93.1
36254,0,44.9,-93.1
68192,0,44.9,-93.1
68191,0,44.9,-93.1
62801,0,44.9,-93.1
10117,0,44.9,-93.1
62801,0,44.9,-93.1
36252,0,44.9,-93.1
11716,0,44.9,-93.1
40407,0,44.9,-93.1
37722,0,44.9,-93.1
10685,0,44.9,-93.1
69770,0,44.9,-93.1
40408,0,44.9,-93.1
62802,0,44.9,-93.1
68190,0,44.9,-93.1
60805,5,44.9,-93.1
42302,14,44.9,-93.1
11371,50,44.9,-93.1
42455,24,44.9,-93.1
11372,34,44.9,-93.1
38403,5,44.9,-93.1
11365,13,44.9,-93.1
38380,0,44.9,-93.1
11546,1,44.9,-93.1
11366,13,44.9,-93.1
38419,4,44.9,-93.1
38448,0,44.9,-93.1
38446,1,44.9,-93.1
61722,5,44.9,-93.1
38445,2,44.9,-93.1
38490,3,44.9,-93.1
42454,15,44.9,-93.1
38420,12,44.9,-93.1
61733,0,44.9,-93.1
38426,0,44.9,-93.1
38422,0,44.9,-93.1
38425,0,44.9,-93.1
38436,1,44.9,-93.1
38404,4,44.9,-93.1
38387,9,44.9,-93.1
41415,6,44.9,-93.1
38406,17,44.9,-93.1
38408,12,44.9,-93.1
41416,1,44.9,-93.1
38421,6,44.9,-93.1
38423,0,44.9,-93.1
38427,5,44.9,-93.1
38428,0,44.9,-93.1
38430,1,44.9,-93.1
38451,0,44.9,-93.1
39039,14,44.9,-93.1
11348,1,44.9,-93.1
62330,0,44.9,-93.1
38412,3,44.9,-93.1
11347,0,44.9,-93.1
68523,1,44.9,-93.1
38429,0,44.9,-93.1
38407,0,44.9,-93.1
42301,41,44.9,-93.1
67645,0,44.9,-93.1
67033,0,44.9,-93.1
38411,0,44.9,-93.1
38410,0,44.9,-93.1
42299,0,44.9,-93.1
38409,0,44.9,-93.1
11364,18,44.9,-93.1
38378,0,44.9,-93.1
38379,0,44.9,-93.1
38333,0,44.9,-93.1
11354,8,44.9,-93.1
41406,3,44.9,-93.1
11360,3,44.9,-93.1
11363,7,44.9,-93.1
38320,4,44.9,-93.1
68526,3,44.9,-93.1
38318,3,44.9,-93.1
38331,0,44.9,-93.1
41414,10,44.9,-93.1
38381,0,44.9,-93.1
38378,1,44.9,-93.1
38380,1,44.9,-93.1
38382,0,44.9,-93.1
38365,2,44.9,-93.1
38383,0,44.9,-93.1
38405,4,44.9,-93.1
41403,9,44.9,-93.1
38346,2,44.9,-93.1
38998,4,44.9,-93.1
41404,17,44.9,-93.1
9913,0,44.9,-93.1
38347,3,44.9,-93.1
68529,1,44.9,-93.1
38364,4,44.9,-93.1
38334,6,44.9,-93.1
38335,0,44.9,-93.1
41402,0,44.9,-93.1
38321,1,44.9,-93.1
38322,7,44.9,-93.1
38332,1,44.9,-93.1
38385,8,44.9,-93.1
38366,1,44.9,-93.1
38367,2,44.9,-93.1
68301,0,44.9,-93.1
38384,4,44.9,-93.1
68368,0,44.9,-93.1
63400,0,44.9,-93.1
38386,3,44.9,-93.1
62352,0,44.9,-93.1
68548,20,44.9,-93.1
38348,8,44.9,-93.1
62355,0,44.9,-93.1
62353,0,44.9,-93.1
41407,1,44.9,-93.1
38349,3,44.9,-93.1
62357,0,44.9,-93.1
61941,0,44.9,-93.1
41405,6,44.9,-93.1
42067,12,44.9,-93.1
38341,0,44.9,-93.1
62261,0,44.9,-93.1
66458,4,44.9,-93.1
68302,1,44.9,-93.1
62616,0,44.9,-93.1
62041,0,44.9,-93.1
62041,0,44.9,-93.1
62615,0,44.9,-93.1
62327,0,44.9,-93.1
62332,0,44.9,-93.1
62622,0,44.9,-93.1
70216,0,44.9,-93.1
68406,0,44.9,-93.1
70566,0,44.9,-93.1
62041,0,44.9,-93.1
62378,0,44.9,-93.1
62379,0,44.9,-93.1
62334,0,44.9,-93.1
62337,0,44.9,-93.1
62000,0,44.9,-93.1
62333,0,44.9,-93.1
62336,0,44.9,-93.1
62625,0,44.9,-93.1
63433,0,44.9,-93.1
62040,0,44.9,-93.1
62623,0,44.9,-93.1
62039,0,44.9,-93.1
61999,0,44.9,-93.1
62331,0,44.9,-93.1
63418,0,44.9,-93.1
62329,0,44.9,-93.1
62328,0,44.9,-93.1
62325,0,44.9,-93.1
63404,0,44.9,-93.1
62326,0,44.9,-93.1
62339,0,44.9,-93.1
62340,0,44.9,-93.1
62323,0,44.9,-93.1
62504,0,44.9,-93.1
61998,0,44.9,-93.1
11613,0,44.9,-93.1
62087,0,44.9,-93.1
62323,0,44.9,-93.1
63343,0,44.9,-93.1
62038,0,44.9,-93.1
62039,0,44.9,-93.1
62092,0,44.9,-93.1
62038,0,44.9,-93.1
62295,0,44.9,-93.1
62321,0,44.9,-93.1
62301,0,44.9,-93.1
11583,0,44.9,-93.1
62626,0,44.9,-93.1
62010,0,44.9,-93.1
62010,0,44.9,-93.1
62091,0,44.9,-93.1
62338,0,44.9,-93.1
62308,0,44.9,-93.1
62307,0,44.9,-93.1
62008,0,44.9,-93.1
61997,0,44.9,-93.1
62009,0,44.9,-93.1
61998,0,44.9,-93.1
62322,0,44.9,-93.1
61934,0,44.9,-93.1
62356,0,44.9,-93.1
62358,0,44.9,-93.1
62359,0,44.9,-93.1
61942,0,44.9,-93.1
62360,0,44.9,-93.1
62247,0,44.9,-93.1
62266,0,44.9,-93.1
62351,0,44.9,-93.1
68315,0,44.9,-93.1
62365,0,44.9,-93.1
62348,0,44.9,-93.1
62354,0,44.9,-93.1
61943,0,44.9,-93.1
62347,0,44.9,-93.1
62264,0,44.9,-93.1
62350,0,44.9,-93.1
62263,0,44.9,-93.1
11581,0,44.9,-93.1
62260,0,44.9,-93.1
62267,0,44.9,-93.1
62245,0,44.9,-93.1
62244,0,44.9,-93.1
67734,0,44.9,-93.1
62246,0,44.9,-93.1
62335,0,44.9,-93.1
62363,0,44.9,-93.1
62011,0,44.9,-93.1
62239,0,44.9,-93.1
62346,0,44.9,-93.1
62343,0,44.9,-93.1
61935,0,44.9,-93.1
63399,0,44.9,-93.1
62364,0,44.9,-93.1
62361,0,44.9,-93.1
62362,0,44.9,-93.1
62342,0,44.9,-93.1
62269,0,44.9,-93.1
62345,0,44.9,-93.1
62259,0,44.9,-93.1
62265,0,44.9,-93.1
68312,0,44.9,-93.1
62344,0,44.9,-93.1
11582,0,44.9,-93.1
63435,0,44.9,-93.1
69537,0,44.9,-93.1
62250,0,44.9,-93.1
62251,0,44.9,-93.1
62238,0,44.9,-93.1
62237,0,44.9,-93.1
62377,0,44.9,-93.1
11614,0,44.9,-93.1
61925,0,44.9,-93.1
61944,0,44.9,-93.1
62763,0,44.9,-93.1
61926,0,44.9,-93.1
62243,0,44.9,-93.1
62198,0,44.9,-93.1
62242,0,44.9,-93.1
62341,0,44.9,-93.1
68364,0,44.9,-93.1
68324,0,44.9,-93.1
68323,0,44.9,-93.1
70217,0,44.9,-93.1
68313,0,44.9,-93.1
40857,0,44.9,-93.1
39036,0,44.9,-93.1
69882,0,44.9,-93.1
69884,0,44.9,-93.1
69883,0,44.9,-93.1
38136,0,44.9,-93.1
69745,0,44.9,-93.1
39035,0,44.9,-93.1
36355,0,44.9,-93.1
36363,0,44.9,-93.1
69741,0,44.9,-93.1
36361,0,44.9,-93.1
36383,0,44.9,-93.1
37263,0,44.9,-93.1
67942,0,44.9,-93.1
40792,0,44.9,-93.1
61604,0,44.9,-93.1
38137,0,44.9,-93.1
36354,0,44.9,-93.1
39160,0,44.9,-93.1
39159,0,44.9,-93.1
40862,0,44.9,-93.1
40862,0,44.9,-93.1
40863,0,44.9,-93.1
69746,0,44.9,-93.1
40864,0,44.9,-93.1
61605,0,44.9,-93.1
36380,0,44.9,-93.1
38785,0,44.9,-93.1
38785,0,44.9,-93.1
40860,0,44.9,-93.1
10838,0,44.9,-93.1
36377,0,44.9,-93.1
36369,0,44.9,-93.1
70004,0,44.9,-93.1
40793,0,44.9,-93.1
36365,0,44.9,-93.1
36364,0,44.9,-93.1
61606,0,44.9,-93.1
36367,0,44.9,-93.1
63200,0,44.9,-93.1
40870,0,44.9,-93.1
40872,0,44.9,-93.1
37588,0,44.9,-93.1
38135,0,44.9,-93.1
37580,0,44.9,-93.1
69729,0,44.9,-93.1
10140,0,44.9,-93.1
40827,0,44.9,-93.1
10840,0,44.9,-93.1
10141,0,44.9,-93.1
10140,0,44.9,-93.1
61623,0,44.9,-93.1
37589,0,44.9,-93.1
40826,0,44.9,-93.1
40826,0,44.9,-93.1
40823,0,44.9,-93.1
40796,0,44.9,-93.1
37558,0,44.9,-93.1
37558,0,44.9,-93.1
10141,0,44.9,-93.1
36360,0,44.9,-93.1
63199,0,44.9,-93.1
36357,0,44.9,-93.1
39291,0,44.9,-93.1
61603,0,44.9,-93.1
40798,0,44.9,-93.1
67059,0,44.9,-93.1
67060,0,44.9,-93.1
69978,5,44.9,-93.1
69999,0,44.9,-93.1
40789,0,44.9,-93.1
37551,0,44.9,-93.1
40783,0,44.9,-93.1
42382,0,44.9,-93.1
40780,0,44.9,-93.1
61616,0,44.9,-93.1
40778,0,44.9,-93.1
10834,0,44.9,-93.1
66630,0,44.9,-93.1
68537,1,44.9,-93.1
66629,0,44.9,-93.1
37554,0,44.9,-93.1
36374,0,44.9,-93.1
37554,0,44.9,-93.1
40790,0,44.9,-93.1
36382,0,44.9,-93.1
68541,3,44.9,-93.1
38745,2,44.9,-93.1
68543,1,44.9,-93.1
38746,0,44.9,-93.1
40781,0,44.9,-93.1
40782,2,44.9,-93.1
68542,1,44.9,-93.1
61724,3,44.9,-93.1
61725,3,44.9,-93.1
38738,6,44.9,-93.1
38757,1,44.9,-93.1
38757,0,44.9,-93.1
38756,2,44.9,-93.1
42434,0,44.9,-93.1
40804,0,44.9,-93.1
40809,0,44.9,-93.1
40822,0,44.9,-93.1
40821,0,44.9,-93.1
61624,0,44.9,-93.1
69973,0,44.9,-93.1
41482,6,44.9,-93.1
38999,0,44.9,-93.1
69997,17,44.9,-93.1
69977,0,44.9,-93.1
40799,0,44.9,-93.1
40800,0,44.9,-93.1
40802,0,44.9,-93.1
38739,21,44.9,-93.1
68540,9,44.9,-93.1
38747,16,44.9,-93.1
41482,18,44.9,-93.1
68544,20,44.9,-93.1
68539,6,44.9,-93.1
69726,0,44.9,-93.1
37567,0,44.9,-93.1
37582,0,44.9,-93.1
37573,0,44.9,-93.1
40873,0,44.9,-93.1
37574,0,44.9,-93.1
69972,0,44.9,-93.1
40825,0,44.9,-93.1
37564,0,44.9,-93.1
37561,0,44.9,-93.1
37559,0,44.9,-93.1
67955,0,44.9,-93.1
69725,0,44.9,-93.1
40818,0,44.9,-93.1
37560,0,44.9,-93.1
37557,0,44.9,-93.1
40824,0,44.9,-93.1
40800,2,44.9,-93.1
37563,0,44.9,-93.1
40820,0,44.9,-93.1
69728,0,44.9,-93.1
37570,0,44.9,-93.1
63237,0,44.9,-93.1
10843,0,44.9,-93.1
69772,0,44.9,-93.1
69727,0,44.9,-93.1
40880,0,44.9,-93.1
40835,0,44.9,-93.1
10842,0,44.9,-93.1
37565,0,44.9,-93.1
37566,0,44.9,-93.1
37571,0,44.9,-93.1
10841,0,44.9,-93.1
11545,0,44.9,-93.1
40829,0,44.9,-93.1
40831,0,44.9,-93.1
40801,3,44.9,-93.1
37556,0,44.9,-93.1
40828,1,44.9,-93.1
11642,0,44.9,-93.1
66452,0,44.9,-93.1
60855,0,44.9,-93.1
60855,0,44.9,-93.1
60628,0,44.9,-93.1
63201,0,44.9,-93.1
40882,0,44.9,-93.1
60856,0,44.9,-93.1
42386,0,44.9,-93.1
40847,0,44.9,-93.1
40832,0,44.9,-93.1
38769,1,44.9,-93.1
40836,3,44.9,-93.1
10835,0,44.9,-93.1
38768,0,44.9,-93.1
41485,5,44.9,-93.1
38752,7,44.9,-93.1
38754,1,44.9,-93.1
68538,5,44.9,-93.1
38755,0,44.9,-93.1
38753,2,44.9,-93.1
38749,24,44.9,-93.1
38997,11,44.9,-93.1
38748,4,44.9,-93.1
41484,5,44.9,-93.1
41479,13,44.9,-93.1
41456,36,44.9,-93.1
41478,9,44.9,-93.1
38741,16,44.9,-93.1
38740,5,44.9,-93.1
38743,35,44.9,-93.1
38742,7,44.9,-93.1
38759,9,44.9,-93.1
42460,3,44.9,-93.1
41481,0,44.9,-93.1
41479,8,44.9,-93.1
11399,37,44.9,-93.1
11390,5,44.9,-93.1
41499,17,44.9,-93.1
41481,36,44.9,-93.1
68527,0,44.9,-93.1
67648,3,44.9,-93.1
11400,13,44.9,-93.1
38618,11,44.9,-93.1
38620,7,44.9,-93.1
38619,5,44.9,-93.1
38749,0,44.9,-93.1
39041,1,44.9,-93.1
67647,14,44.9,-93.1
38751,8,44.9,-93.1
38744,33,44.9,-93.1
41486,4,44.9,-93.1
38807,0,44.9,-93.1
38774,1,44.9,-93.1
38766,0,44.9,-93.1
38617,23,44.9,-93.1
41500,48,44.9,-93.1
38616,22,44.9,-93.1
38808,10,44.9,-93.1
41497,6,44.9,-93.1
67171,16,44.9,-93.1
67083,2,44.9,-93.1
41496,14,44.9,-93.1
11750,0,44.9,-93.1
37547,0,44.9,-93.1
69979,0,44.9,-93.1
10832,0,44.9,-93.1
40775,0,44.9,-93.1
61612,0,44.9,-93.1
38816,0,44.9,-93.1
67061,0,44.9,-93.1
37591,0,44.9,-93.1
67062,0,44.9,-93.1
40766,0,44.9,-93.1
11751,0,44.9,-93.1
61614,0,44.9,-93.1
61613,0,44.9,-93.1
37593,0,44.9,-93.1
39167,0,44.9,-93.1
38817,0,44.9,-93.1
40771,7,44.9,-93.1
40771,0,44.9,-93.1
68731,0,44.9,-93.1
37546,2,44.9,-93.1
40773,4,44.9,-93.1
40774,1,44.9,-93.1
40771,0,44.9,-93.1
61611,2,44.9,-93.1
40768,4,44.9,-93.1
40769,9,44.9,-93.1
40767,1,44.9,-93.1
38705,2,44.9,-93.1
40770,1,44.9,-93.1
37542,0,44.9,-93.1
40764,0,44.9,-93.1
40761,0,44.9,-93.1
38701,0,44.9,-93.1
38702,0,44.9,-93.1
60791,0,44.9,-93.1
60819,3,44.9,-93.1
60609,0,44.9,-93.1
11749,0,44.9,-93.1
38718,11,44.9,-93.1
38720,1,44.9,-93.1
38719,8,44.9,-93.1
38725,2,44.9,-93.1
38726,9,44.9,-93.1
38735,4,44.9,-93.1
41435,8,44.9,-93.1
38707,1,44.9,-93.1
38708,4,44.9,-93.1
38709,0,44.9,-93.1
63315,4,44.9,-93.1
38710,2,44.9,-93.1
61746,6,44.9,-93.1
60792,0,44.9,-93.1
60789,0,44.9,-93.1
38703,0,44.9,-93.1
38704,0,44.9,-93.1
41428,0,44.9,-93.1
60793,0,44.9,-93.1
38706,0,44.9,-93.1
38727,16,44.9,-93.1
11387,32,44.9,-93.1
38728,25,44.9,-93.1
41455,40,44.9,-93.1
38736,3,44.9,-93.1
11389,26,44.9,-93.1
60816,1,44.9,-93.1
38761,2,44.9,-93.1
60816,2,44.9,-93.1
41449,16,44.9,-93.1
38733,27,44.9,-93.1
38731,12,44.9,-93.1
38730,11,44.9,-93.1
11748,0,44.9,-93.1
38723,6,44.9,-93.1
41446,18,44.9,-93.1
10829,7,44.9,-93.1
38721,27,44.9,-93.1
38722,3,44.9,-93.1
38729,0,44.9,-93.1
11385,13,44.9,-93.1
11401,14,44.9,-93.1
38623,6,44.9,-93.1
38624,0,44.9,-93.1
38784,1,44.9,-93.1
38625,2,44.9,-93.1
11402,12,44.9,-93.1
61756,15,44.9,-93.1
60807,7,44.9,-93.1
11403,13,44.9,-93.1
11404,0,44.9,-93.1
38734,7,44.9,-93.1
38626,7,44.9,-93.1
38737,0,44.9,-93.1
11747,8,44.9,-93.1
38594,5,44.9,-93.1
38724,3,44.9,-93.1
38593,1,44.9,-93.1
38602,5,44.9,-93.1
38775,14,44.9,-93.1
38732,5,44.9,-93.1
38604,20,44.9,-93.1
41494,0,44.9,-93.1
38627,6,44.9,-93.1
41495,9,44.9,-93.1
38628,10,44.9,-93.1
61754,0,44.9,-93.1
